File,Line Index,Original Class,Modified Class
/content/testset/Chess-Pieces-6/train/labels/26d663ab5ffbec49f9dc8e592982cfd4_jpg.rf.ba85a19bd3a3b238367ab099c9c59b2e.txt,0,12,9
/content/testset/Chess-Pieces-6/train/labels/26d663ab5ffbec49f9dc8e592982cfd4_jpg.rf.ba85a19bd3a3b238367ab099c9c59b2e.txt,2,8,10
/content/testset/Chess-Pieces-6/train/labels/IMG_0291_JPG.rf.a8bb7d8276689263e189de555ed3272e.txt,2,7,3
/content/testset/Chess-Pieces-6/train/labels/614aadadb4a7f5b475b027b8e11398ee_jpg.rf.05344bf8976f414ec3ff8b27b4c698ca.txt,5,6,7
/content/testset/Chess-Pieces-6/train/labels/614aadadb4a7f5b475b027b8e11398ee_jpg.rf.05344bf8976f414ec3ff8b27b4c698ca.txt,6,10,6
/content/testset/Chess-Pieces-6/train/labels/a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.f4ab3f9548035468df5e7c311fba5a56.txt,6,10,0
/content/testset/Chess-Pieces-6/train/labels/a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.f4ab3f9548035468df5e7c311fba5a56.txt,10,3,7
/content/testset/Chess-Pieces-6/train/labels/292b0ddcacad7de06a628980954b6993_jpg.rf.bfad090d90dec8e3745d9b3a9bbb0194.txt,8,9,12
/content/testset/Chess-Pieces-6/train/labels/292b0ddcacad7de06a628980954b6993_jpg.rf.bfad090d90dec8e3745d9b3a9bbb0194.txt,12,1,3
/content/testset/Chess-Pieces-6/train/labels/292b0ddcacad7de06a628980954b6993_jpg.rf.bfad090d90dec8e3745d9b3a9bbb0194.txt,20,10,1
/content/testset/Chess-Pieces-6/train/labels/IMG_0295_JPG.rf.f377b0c62894ad3c5d617cb79df5f2d7.txt,3,8,5
/content/testset/Chess-Pieces-6/train/labels/IMG_0297_JPG.rf.72fd1f7ace2660dd5260725fbe53eea6.txt,3,8,7
/content/testset/Chess-Pieces-6/train/labels/IMG_0291_JPG.rf.567eef64b614fb9b4f0689558534bae8.txt,7,4,10
/content/testset/Chess-Pieces-6/train/labels/36066ba85572ce99198f1a21c2c8bbff_jpg.rf.daa1e8d56d43915e165410662ff3f2c1.txt,1,1,0
/content/testset/Chess-Pieces-6/train/labels/36066ba85572ce99198f1a21c2c8bbff_jpg.rf.daa1e8d56d43915e165410662ff3f2c1.txt,9,4,0
/content/testset/Chess-Pieces-6/train/labels/36066ba85572ce99198f1a21c2c8bbff_jpg.rf.daa1e8d56d43915e165410662ff3f2c1.txt,17,12,3
/content/testset/Chess-Pieces-6/train/labels/969daa72bd7804ea1212e191820249b0_jpg.rf.06d1c7414d31960b9ebbc4fa5eb95112.txt,10,4,1
/content/testset/Chess-Pieces-6/train/labels/4894f034a55eaa9252cd261a62b11d27_jpg.rf.2f88166748dae3be3683abbd7c8750b3.txt,6,10,6
/content/testset/Chess-Pieces-6/train/labels/97aeb1f9b745a929e9ac0848acb53a1a_jpg.rf.1ad9f645c94a41ab0fdba4bec1d06466.txt,2,6,2
/content/testset/Chess-Pieces-6/train/labels/97aeb1f9b745a929e9ac0848acb53a1a_jpg.rf.1ad9f645c94a41ab0fdba4bec1d06466.txt,18,12,0
/content/testset/Chess-Pieces-6/train/labels/239c409d5c09b493fed01a70a3cda4bc_jpg.rf.84bb5e59cd71679647382397e455c46f.txt,1,3,2
/content/testset/Chess-Pieces-6/train/labels/239c409d5c09b493fed01a70a3cda4bc_jpg.rf.84bb5e59cd71679647382397e455c46f.txt,5,6,3
/content/testset/Chess-Pieces-6/train/labels/239c409d5c09b493fed01a70a3cda4bc_jpg.rf.84bb5e59cd71679647382397e455c46f.txt,22,9,1
/content/testset/Chess-Pieces-6/train/labels/ce54969567273b9b8a275812ff56e16c_jpg.rf.2f5775df92893ea7cb4391ea7c544b0d.txt,0,5,1
/content/testset/Chess-Pieces-6/train/labels/ce54969567273b9b8a275812ff56e16c_jpg.rf.2f5775df92893ea7cb4391ea7c544b0d.txt,8,10,11
/content/testset/Chess-Pieces-6/train/labels/93557fc861304f7753089c244bc1e33e_jpg.rf.a290bdafac62a9db621fb119e30f9980.txt,10,3,4
/content/testset/Chess-Pieces-6/train/labels/93557fc861304f7753089c244bc1e33e_jpg.rf.a290bdafac62a9db621fb119e30f9980.txt,17,9,2
/content/testset/Chess-Pieces-6/train/labels/d415969922564f317be0d1433330626f_jpg.rf.f90bb2905b03f8de29af3863ab0a1673.txt,4,4,9
/content/testset/Chess-Pieces-6/train/labels/d415969922564f317be0d1433330626f_jpg.rf.f90bb2905b03f8de29af3863ab0a1673.txt,11,10,5
/content/testset/Chess-Pieces-6/train/labels/61567b97353acc18ba9e8aac0f111326_jpg.rf.e1031fdf296c2b34436580589e926f3c.txt,2,1,6
/content/testset/Chess-Pieces-6/train/labels/61567b97353acc18ba9e8aac0f111326_jpg.rf.e1031fdf296c2b34436580589e926f3c.txt,17,8,10
/content/testset/Chess-Pieces-6/train/labels/61567b97353acc18ba9e8aac0f111326_jpg.rf.e1031fdf296c2b34436580589e926f3c.txt,27,10,9
/content/testset/Chess-Pieces-6/train/labels/614aadadb4a7f5b475b027b8e11398ee_jpg.rf.c7b72bf27af68974454346c821541afd.txt,19,8,3
/content/testset/Chess-Pieces-6/train/labels/614aadadb4a7f5b475b027b8e11398ee_jpg.rf.c7b72bf27af68974454346c821541afd.txt,20,7,6
/content/testset/Chess-Pieces-6/train/labels/a4ebf4c268d80c4fe329331ea981b3a1_jpg.rf.7d9adfeb87d01b58b81841757fbf82ad.txt,0,3,8
/content/testset/Chess-Pieces-6/train/labels/a4ebf4c268d80c4fe329331ea981b3a1_jpg.rf.7d9adfeb87d01b58b81841757fbf82ad.txt,17,10,4
/content/testset/Chess-Pieces-6/train/labels/292b0ddcacad7de06a628980954b6993_jpg.rf.6ed353686fb07464f2f56fa37b1133f9.txt,8,9,8
/content/testset/Chess-Pieces-6/train/labels/292b0ddcacad7de06a628980954b6993_jpg.rf.6ed353686fb07464f2f56fa37b1133f9.txt,12,1,4
/content/testset/Chess-Pieces-6/train/labels/292b0ddcacad7de06a628980954b6993_jpg.rf.6ed353686fb07464f2f56fa37b1133f9.txt,30,4,2
